Global Sıra,İlçe,Klinik Adı,Mahalle,Adres,Telefon,Yorum Sayısı,Puan,Tip/Özellik,Eve Kuş Uçuşu (km),Ziyaret Tarihi,Temsilci,Görüşülen Hekim,Durum,Sipariş,Notlar
32,Yenimahalle,Artı Klinik Diş Polikliniği ⭐,Yeni Batı,Mülk Cd 20A/B,0541 504 50 80,287,4.8,Özel - Büyük,1,,,,,,
33,Yenimahalle,Yeni Batı Meydan ADSP,Cumhuriyet,Veysel Karani Blv 9D/6,0312 557 01 90,10,4.6,Özel - Küçük,1.4,,,,,,
34,Yenimahalle,Uzm. Dt. Merve Karaışık Soysal (Ortodonti),Yeni Batı,Meydan ADSP içi,0530 879 58 85,6,5.0,Özel - Uzman (Ortodonti),1.4,,,,,,
35,Etimesgut,Miadent ADSM,Göksu,1. TBMM Cd. No:8 D:111 Kaşmir Center,444 56 42,52,3.6,Özel - Orta,2.3,,,,,,
36,Etimesgut,Dt. Nihal Kuyumcu ⭐ YENİ,Göksu,2. İnönü Cd No:6A,0506 176 22 33,2,5.0,Özel - Küçük,2.6,,,,,,
37,Etimesgut,Eryadent ADSP,Göksu,2. İnönü Cd. No:6A-G Arissa,0506 176 22 33,198,4.2,Özel - Orta,2.9,,,,,,
38,Etimesgut,Göksu ADSP,Susuz (Yenimahalle sınırı),2. İnönü Cd 37/C No:2,0551 344 65 66,47,5.0,Özel - Küçük,3.7,,,,,,
39,Etimesgut,Aylin Katar Balaban,Şeyh Şamil,1. TBMM Yeşil Aşiyan 59/8 No:4,0312 279 24 89,26,4.6,Özel - Küçük,3.2,,,,,,
40,Etimesgut,AREL Oral and Dental Health,Şeyh Şamil,1.TBMM Cd. Yeşil Aşiyan 59/9A,0312 283 03 47,235,4.2,Özel - Büyük,3.3,,,,,,
41,Etimesgut,Eradent Oral and Dental ⭐ YENİ,Tunahan,254. Sok 8/155 Demapark,0506 156 65 16,210,4.6,Özel - Büyük,3.2,,,,,,
42,Etimesgut,Nekadent ADSP,Tunahan,254. Sk. No:8A D:A,0533 031 25 94,42,5.0,Özel - Küçük,3.1,,,,,,
43,Etimesgut,Dent Aden ADSP,Eryaman,271. Cd. Rada Park AVM No:3/27,0530 826 23 36,96,4.7,Özel - Orta,3.3,,,,,,
44,Etimesgut,Dentplant - Emre Yanaral,Eryaman,296. Sk. No:4/A Radalife K:2 D:16,0312 282 20 00,126,4.8,Özel - Orta,3.3,,,,,,
45,Etimesgut,Dent Batıkent Eryaman,Eryaman,Dolphin AVM No:3/29 Dil Devrimi,0312 279 21 21,137,3.9,Özel - Orta,3.7,,,,,,
46,Etimesgut,Özel Eryaman Dentestetik,Eryaman,Dolphin İş Mrk. 285. Sk. 3/42,0312 283 02 83,171,4.5,Özel - Orta,3.7,,,,,,
47,Etimesgut,Dt. Nevin Eren,Eryaman,Dolphin İş Mrk. 285. Sk. No:3,0850 333 8344,51,4.5,Özel - Küçük,3.7,,,,,,
48,Etimesgut,DURUDENT ADSP,Eryaman,Dil Devrimi Cd. No:41 D:7A,0312 283 10 10,58,4.5,Özel - Küçük,4.1,,,,,,
49,Etimesgut,Zena Dent ADSP,Eryaman,Samsun 19 Mayıs Cd. No:29/A,0505 842 03 38,39,5.0,Özel - Küçük,4.3,,,,,,
50,Etimesgut,Özel Klinik Eryaman ADSP,Devlet,262. Cd Ak Center No:6/30-31-32,0507 858 08 08,129,5.0,Özel - Orta,4,,,,,,
51,Etimesgut,eDent ADSP Eryaman,Eryaman,Akıncı Cd. No:26/A,0312 281 08 08,176,4.8,Özel - Orta,4.3,,,,,,
52,Etimesgut,Özel BeMTa ADSP,Eryaman,3. Cd. No:1B,0312 511 62 00,90,5.0,Özel - Orta,4.9,,,,,,
53,Etimesgut,DENTİSTS GROUP Gimsa,Devlet,Devrimler Cd.,0312 282 29 98,189,4.1,Özel - Orta,5.3,,,,,,
54,Sincan,Special Summit Dental (Zirve) ⭐,Plevne,Pazar Sk 43/A,-,193,4.1,Özel - Büyük,6,,,,,,
55,Sincan,Güven Ankara ADSP Akşemsettin,Akşemsettin,Bosna Cd 84/B,0507 618 90 91,72,4.6,Özel - Orta,6.6,,,,,,
56,Sincan,Dt. Ayşe Zeycan Kaleli & Faruk Sarıyerli ⭐,İstasyon,Polatlı 1. Cd 7/3,0507 303 94 34,196,4.7,Özel - Büyük,6.9,,,,,,
57,Sincan,Dt. Neriman & Sadri Uysal,İstasyon,Bosna Cd 25/3,0312 269 52 59,17,4.0,Özel - Köklü,7,,,,,,
58,Sincan,Özel Osman Kuşçu Sincan,İstasyon,Bosna Cd 26/A,0312 270 04 14,45,3.3,Özel - Orta (düşük puan),7.2,,,,,,
59,Sincan,Özel Asel ADSP,İstasyon,Bosna Cd Engin Sk 4/A,0551 707 00 06,8,5.0,Özel - Yeni,7.2,,,,,,
60,Sincan,Aysun İğneli Diş Kliniği,İstasyon,Bosna Cd 13/A,0312 271 67 67,154,4.3,Özel - Orta,7.3,,,,,,
61,Sincan,Özel Dünya ADSP,İstasyon,İstasyon mh,0312 270 00 06,52,3.7,Özel - Orta,7.3,,,,,,
62,Sincan,Özel Cadde Arasta ADSP,Evran,Ayaş Cd 13,0541 445 44 43,14,4.8,Özel - Yeni (YENİ MAHALLE: Evran),7.5,,,,,,
63,Sincan,Sincan Tıp Merkezi (dental),İstasyon,Ayaş Cd 34,0312 263 36 73,403,4.0,Özel - Tıp Merkezi (dental şubesi),7.3,,,,,,
64,Sincan,Dentist Serk Göklerden,Atatürk,Ankara Cd 2,0312 271 31 31,25,4.9,Özel - Köklü,7.5,,,,,,
65,Sincan,Dentist / Dt. Serkan Göklerden,Atatürk,Ankara Cd. No:2,0312 271 31 31,25,4.9,Özel,7.5,,,,,,
66,Sincan,Uzm. Dt. Enes Elmalı,Atatürk,Ankara Cd Lale İş Merkezi 12/4,-,21,4.8,Özel - Uzman,7.5,,,,,,
67,Sincan,Dt. Sami Kalenci ⭐,Atatürk,Ankara Cd 4 Lale İş Merkezi 12,0312 275 03 03,29,5.0,Özel - Köklü,7.5,,,,,,
68,Sincan,Diş Hekimi Dt. Sami Kalenci,Atatürk,Lale Cad. Ankara Cd. No:4 İş Mrk No:12,0312 275 03 03,29,5.0,Özel,7.5,,,,,,
69,Sincan,Dt. Cemile Nur Elmalı,Atatürk,Ankara Cd Lale İş Merkezi 12/4,0312 275 02 00,4,5.0,Özel - Küçük,7.5,,,,,,
70,Sincan,Dt. Şerife Özkan,Atatürk,Ankara Cd 14-23,0312 276 39 04,15,4.5,Özel - Küçük,7.5,,,,,,
71,Sincan,Diş Hekimi Dt. Şerife Özkan,Atatürk,Ankara Cd. 14-23,0312 276 39 04,15,4.5,Özel,7.5,,,,,,
72,Sincan,Dt. Recep Balkaya,Atatürk,Meltem Sk 2,0312 276 19 96,6,4.3,Özel - Köklü,7.4,,,,,,
73,Sincan,Diş Hekimi Dr. Anife Göktaş,Tandoğan,Billur Sk. 10/5,0850 811 3654,52,2.9,Özel,7.4,,,,,,
74,Sincan,Dt. Mustafa Can,Atatürk,Vatan Cd Belediye İş Merkezi 23/65-66,0312 269 00 11,26,3.8,Özel - Köklü (düşük puan),7.4,,,,,,
75,Sincan,Diş Hekimi Mustafa Can,Atatürk,Vatan Cd. Belediye İş Mrk 23/65-66,0312 269 00 11,26,3.8,Özel,7.4,,,,,,
76,Sincan,Dt. Hasan Faruk Özışık,Atatürk,Ankara Cd 50 D:3,0312 271 73 01,56,4.6,Özel - Köklü,7.4,,,,,,
77,Sincan,Diş Hekimi Hasan Faruk Özışık,Atatürk,Ankara Cd. No:50 D:3,0312 271 73 01,56,4.6,Özel,7.4,,,,,,
78,Sincan,Dentist Medet Benli,Atatürk,Ankara Cd 33 D:7,0312 269 51 71,14,5.0,Özel - Köklü,7.3,,,,,,
79,Sincan,DETAY DENT,Atatürk,Melek Sk 34/4,0312 269 92 92,104,4.8,Özel - Orta,7.2,,,,,,
80,Sincan,Ümit Küpeli Diş Hekimliği,Atatürk,Onur Cd 19/1,0850 811 3626,9,5.0,Özel - Küçük,7.1,,,,,,
81,Sincan,Dt. Nuriye Tankoş,Atatürk,Onur Cd 10/3,0312 271 25 81,39,4.6,Özel - Köklü,7.1,,,,,,
82,Sincan,Diş Hekimi Nuriye Tankoş,Atatürk,Onur Cd No:10/3,0312 271 25 81,39,4.6,Özel,7.1,,,,,,
83,Sincan,Sincan diş hekimi,Atatürk,Atatürk Cd 58 D:4/1,0506 265 10 06,6,4.5,Özel - Küçük,7.1,,,,,,
84,Sincan,Pearl Dental Clinic,Akşemsettin,Polatlı 1. Cd 16,0552 780 25 70,89,4.1,Özel - Orta (düşük yorumlar),6.9,,,,,,
85,Sincan,Dentedent ADSP,İstasyon,Polatlı 1. Cd 21/D,0532 475 46 37,0,0,Özel - Yeni,6.9,,,,,,
86,Sincan,Özel Merkez ADSP ⭐,Tandoğan,Billur Sk 10/1,0312 276 00 89,185,4.9,Özel - Büyük,7.6,,,,,,
87,Sincan,Dt. Cengiz Avdan,Tandoğan,Billur Sk 10/1,0553 944 00 89,1,5.0,Özel - Küçük,7.6,,,,,,
88,Sincan,Dt. Zeynep Sayılı,Tandoğan,Zeki Uğur Cd 54/B,0552 288 29 95,34,4.3,Özel - Köklü,8.1,,,,,,
89,Sincan,Kuzey ADSP Sincan ⭐,Tandoğan,Ahi Mesut Blv 320 AD,0312 513 29 45,110,4.9,Özel - Orta,8.6,,,,,,
90,Sincan,Özel Sekans ADSP,Tandoğan,Ahi Mesut Blv 320 AF,0530 122 95 54,75,4.8,Özel - Orta,8.6,,,,,,
91,Sincan,Aydent ADSP,Malazgirt,Ahimesut Blv 298/C-D,0312 268 10 71,25,4.5,Özel - Orta (YENİ MAHALLE: Malazgirt),8.4,,,,,,
92,Sincan,LADEN ADSP ⭐,Pınarbaşı,Vatan Cd 52 D:B,0540 907 97 97,59,4.9,Özel - Orta,7.9,,,,,,
93,Sincan,Sincan Diş Polikliniği ⭐⭐,Atatürk,Vatan Cd 36/A,0506 586 36 72,289,4.7,Özel - DEV,7.8,,,,,,
94,Sincan,Dent Sin Diş Polikliniği,Atatürk,Vatan Cd 36/21 D:1,0312 866 36 72,18,4.1,Özel - Orta,7.8,,,,,,
95,Sincan,Alyadent Sincan ⭐⭐,Andiçen,Ahi Mesut Blv 252 B,0554 499 14 12,279,4.3,Özel - DEV,7.8,,,,,,
96,Sincan,Sincan Diş (Andiçen),Andiçen,Ahi Mesut Blv 252 B (Alyadent yanı),0850 840 6665,0,0,Özel - Yeni (henüz yorumsuz),7.8,,,,,,
97,Sincan,Prizma ADSP,Andiçen,Ahi Mesut Blv 236 D:S,0530 303 89 80,27,4.9,Özel - Yeni,7.8,,,,,,
98,Sincan,Özel Zirve ADSP,Pınarbaşı,Kuyumcu Sk 1c D:4,0312 270 01 01,54,4.4,Özel - Orta,8.4,,,,,,
99,Sincan,Özel Güven Ankara Pınarbaşı,Pınarbaşı,Yaşar Kemal Cd 114/A,0532 689 43 73,50,5.0,Özel - Orta,8.8,,,,,,
100,Sincan,Özel Anıl Alp ADSP,Pınarbaşı,Yaşar Kemal Cd 101 b,0541 639 59 06,31,4.9,Özel - Orta,8.8,,,,,,
101,Sincan,Özel Dentalp ADSP,Pınarbaşı,Yaşar Kemal Cd,-,1,5.0,Özel - Yeni,8.8,,,,,,
102,Sincan,Özel Lotus ADSP Sincan ⭐,Andiçen,Hürriyet Cd,0505 637 41 09,64,4.8,Özel - Orta (YENİ MAHALLE bağlamı),7,,,,,,
103,Sincan,Ankanaturadent ⭐,Selçuklu,Prof. Dr. Necmettin Erbakan Blv 48,0312 260 20 01,118,4.2,Özel - Büyük,6,,,,,,
104,Etimesgut,"Dt. Elif Merve Dur, Diş Hekimi",Yeşilova,Prof. Dr. Necmettin Erbakan Cd No:15/1-13,,2,5.0,Özel,5.7,,,,,,
105,Sincan,Lale ADSP ⭐ (24h),Mareşal Çakmak,Ankara Cd 216/A,0312 270 01 12,260,4.3,Özel - Büyük (24h),6,,,,,,
106,Etimesgut,Dent Yeşilova ADSP,Yeşilova,4014. Cad. 8/A,0533 512 03 93,113,4.8,Özel - Orta,5.2,,,,,,
107,Etimesgut,Uzm. Dt. Nurcan Yurtoğlu (Ağız-Çene Radyoloji) ⭐ v3,Yeşilova,4014. Cad. No:6/C,0506 397 14 50,57,4.8,Özel - Uzman (Radyoloji),5.2,,,,,,
108,Etimesgut,Dentporte ADSP ⭐ v3,Yeşilova,Şht. Ferhat Koç Cd. No:8 D:1B,0552 196 46 39,72,4.8,Özel - Orta,5.1,,,,,,
109,Etimesgut,Nova Dental ADSP ⭐ YENİ,Yeşilova,Port AVM Prof. Dr. Necmettin Erbakan Cd No:13 A,0506 154 13 47,94,4.9,Özel - Orta,5.2,,,,,,
110,Etimesgut,Akademi Diş Eryaman ⭐ YENİ,Yeşilova,Doğan City Şht. Ferhat Koç Cd No:55,0312 269 65 55,15,5.0,Özel - Küçük,4.9,,,,,,
111,Etimesgut,Beyazdent Grup ADSP,Atakent,Murat Üçöz Cd D:4A,0516 160 66 67,23,5.0,Özel - Küçük,4.9,,,,,,
112,Etimesgut,ELADENT Etimesgut,Topçu,Şehit Murat Üçöz Cd No:15/A,0507 470 08 70,21,4.8,Özel - Küçük,5,,,,,,
113,Etimesgut,Dr. N. Ayşegül Gürler,Atakent (Elvankent),1464 Cd. 1477 Sk. No:1 D:2,0312 261 29 27,38,4.8,Özel - Küçük,5.2,,,,,,
114,Etimesgut,Dent Atakent ADSP,Atakent,1514. Sk. No:83 D:3,0542 624 12 44,109,4.9,Özel - Orta,5.3,,,,,,
115,Etimesgut,Özel Elvankent ADSP,Atakent (Elvankent),1478. Cd. 36/A,0312 260 63 12,536,4.7,Özel - Büyük,5.3,,,,,,
116,Etimesgut,Uzman Dt. Semanur Güneş Diş Kliniği,Atakent,Şht. Celal İşen Sk. 24/A,0553 443 13 68,25,5.0,Özel,5.5,,,,,,
117,Etimesgut,Dt. Ayzer Bal,Topçu,1522. Sk 7/4,0312 260 16 26,5,3.4,Özel - Küçük,5.4,,,,,,
118,Etimesgut,Dt. Oya Ertüzün,Atakent,Şehit Murat Üçöz Cd 64/1,0546 476 90 35,25,4.8,Özel - Küçük,5.6,,,,,,
119,Etimesgut,Özel Keşif Dent ADSP,Topçu,Şht. Mustafa Sağlam Cd 18/A,0312 260 22 12,84,4.8,Özel - Küçük,5.6,,,,,,
120,Etimesgut,Dt. Zehra Sarıtekin Erkuş,Topçu (Elvankent),1489. Cd. No:14/11,0312 260 22 12,7,5.0,Özel - Küçük,5.6,,,,,,
121,Etimesgut,Güney ADSP,Topçu,1512. Cd. No:52-A D:C,0507 172 22 39,299,4.8,Özel - Büyük,4.8,,,,,,
122,Etimesgut,Arda Dent ADSP,Topçu,1505. Sk. No:1-A,0532 155 80 66,53,5.0,Özel - Küçük,4.6,,,,,,
123,Etimesgut,Özel Etimesgut/Emirler Kliniği,Piyade,1951. Sk. No:15,0312 228 12 00,113,4.5,Özel - Orta,4.2,,,,,,
124,Etimesgut,Hakim Türkoğlu,Süvari,İstasyon Cad. No:170,0541 102 44 10,56,3.9,Özel - Küçük,3.4,,,,,,
125,Etimesgut,Etimesgut Getat Diş Kliniği ⭐ v3,Kazım Karabekir,İstasyon Cad. No:126,0552 645 23 43,4,4.0,Özel - Küçük,3.3,,,,,,
126,Etimesgut,Tebessüm Diş Kliniği,Kazım Karabekir,İstasyon Cad. No:71,0312 243 29 29,60,4.0,Özel,3.3,,,,,,
127,Etimesgut,Yaşam ADSP ⭐ YENİ,Kazım Karabekir,İzmir Cd No:11 D:B,0551 070 19 30,86,4.7,Özel - Orta,3.5,,,,,,
128,Etimesgut,Özel Ayna ADSP ⭐ YENİ,30 Ağustos,Şht. Hasan Öztürk Cd. No:27/B,0505 042 00 44,152,4.8,Özel - Orta,3.6,,,,,,
129,Etimesgut,Özel Uygar Polikliniği ⭐ v3,30 Ağustos,2091. Sk. No:3 D:A,0850 811 4092,58,4.4,Özel - Orta,3.7,,,,,,
130,Etimesgut,Hikmet Özer 2313 Muayenehane (Ezgi Kabak/Yunus Emre Şimşek+Betül Çetinkaya+Burcu Uluhan) ⭐ v3,İstasyon,Hikmet Özer Cd 2313. Sk. 1/2 — 4 hekim aynı muayenehane,0507 510 06 44,7,5.0,Özel - Küçük (Ortak Muayenehane),3.6,,,,,,
131,Etimesgut,DENTAL AY ADSP,İstasyon,Tüzün Sk. 45/A,0537 852 14 46,71,4.5,Özel - Küçük,3.6,,,,,,
132,Etimesgut,Dt. Tolga Tigin Güngör ⭐ v3,İstasyon,Hikmet Özer Cd. No:7,-,8,4.5,Özel - Küçük,3.4,,,,,,
133,Etimesgut,Prof.Dr Görgülü Ortodonti,İstasyon,2309. Sk. No:2 D:11,0552 276 48 48,76,4.8,Özel - Uzman (Ortodonti),3.4,,,,,,
134,Etimesgut,Ankara Dişevi ⭐ v3,Kazım Karabekir,İstasyon Cad. No:41 D:c,-,38,3.5,Özel - Küçük,3.3,,,,,,
135,Etimesgut,Özel Etimesgut ADSP İstasyon,İstasyon,Ulubatlı Hasan Cd No:108,0312 245 61 00,96,4.4,Özel - Orta,3.8,,,,,,
136,Etimesgut,Özel Dent Sağlık ADSP ⭐ v3,Şehit Alsancak,Hikmet Özer Cd. No:94 D:1,0540 672 45 45,86,5.0,Özel - Orta,4.6,,,,,,
137,Etimesgut,Özel Duru ADSP,Süvari,Ahi Mesut Blv No:13/B,0552 303 05 50,97,4.5,Özel - Orta,4.3,,,,,,
138,Etimesgut,3K ADSP,Süvari,Ahi Mesut Blv No:19/B,0543 964 83 30,7,5.0,Özel - Küçük,4.3,,,,,,
139,Etimesgut,Özel Lotus Etimesgut (Süvari),Süvari,Ahi Mesut Blv No:38/B,0533 599 33 68,41,4.9,Özel - Küçük,4.4,,,,,,
140,Etimesgut,TunaDent ADSP,Süvari,1731. Cd. No:11 D:H,0531 524 56 10,114,4.9,Özel - Orta,4.8,,,,,,
141,Etimesgut,Dt. Mahmut Sapmaz ADSP,Süvari,Özkuyumcular Center Mehmet Akif Ersoy,0539 308 23 19,140,4.9,Özel - Orta,5,,,,,,
142,Etimesgut,Nehir ADSP,Ahi Mesut,1904. Sk. No:12/B,0555 186 18 98,236,4.1,Özel - Büyük,5,,,,,,
143,Etimesgut,Özel Ankara Mavi ADSP ⭐ YENİ,Ahi Mesut,1903. Sk. No:1/A,0312 226 26 18,160,4.3,Özel - Orta,4.9,,,,,,
144,Etimesgut,Piyade ADSP,Piyade,Ahi Mesut Blv No:66/16,0545 838 12 11,257,4.8,Özel - Büyük,4.7,,,,,,
145,Etimesgut,İrem Çarşı Diş Kliniği,Ahi Mesut,1904. Sk. İrem Çarşı D:11/C,0554 674 03 05,773,4.9,Özel - Büyük,5.3,,,,,,
146,Etimesgut,Hayal ADSP,Ahi Mesut,1906. Sk. 3 A,0312 504 50 10,160,4.7,Özel - Orta,5.3,,,,,,
147,Etimesgut,Dent Alkan,Yeni (Bağlıca),Zirve Cd. 91F D:10,0554 402 15 12,178,5.0,Özel - Orta,7.4,,,,,,
148,Etimesgut,Bağlıca Estetica Denta,Bağlıca,Etimesgut Blv. No:33 D:4,0536 662 71 85,59,4.9,Özel - Küçük,7.8,,,,,,
149,Etimesgut,Ortodonti Uzm. Orhan Aksoy ⭐ YENİ,Bağlıca,Bağlıca Business Center Yolcular Cd. 14,0541 235 86 55,92,4.9,Özel - Uzman (Ortodonti),9,,,,,,
150,Etimesgut,Nar Diş Eryaman 7,Bağlıca,Bağlıca Blv. No:60 D:F,0312 234 10 54,188,4.4,Özel - Orta,9.1,,,,,,
151,Etimesgut,DH Klinik Denthaus,Bağlıca,Bağlıca Blv. no:55/5,0501 363 87 64,117,4.9,Özel - Orta,9.2,,,,,,
152,Etimesgut,Özel Delta ADSP,Bağlıca,Bağlıca Blv. No:72/8,0541 710 11 12,74,4.9,Özel - Küçük,9.3,,,,,,
153,Etimesgut,Dt. Demet Duran,Bağlıca,Hilal Cd. No:20 C-9,0530 950 88 23,13,5.0,Özel - Küçük,9.4,,,,,,
154,Etimesgut,Diş Hekimi Demet Duran,Bağlıca,Hilal Cd. No:20 C-9,0530 950 88 23,13,5.0,Özel,9.4,,,,,,
155,Etimesgut,Nuray Tekin Kar Diş,Bağlıca,Etimesgut Blv. No:118/B,0541 244 09 83,91,4.8,Özel - Orta,9.4,,,,,,
156,Etimesgut,SevilDent ADSP,Bağlıca,Bağlıca Blv. 43/7,0530 790 65 75,215,4.8,Özel - Büyük,9.1,,,,,,
157,Etimesgut,Bağlıca DentOffice ADSP,Bağlıca,Bağlıca Blv. No:46 D:2C,0542 150 19 19,279,4.7,Özel - Büyük,9,,,,,,
158,Etimesgut,Bulvar Bağlıca ADSP,Yeni Mah (Bağlıca),Bağlıca Blv. No:30/E,0530 776 81 51,262,5.0,Özel - Büyük,9.1,,,,,,
159,Etimesgut,Uzm. Büşra Özdemiray ⭐ YENİ,Bağlıca,Bağlıca Bulvarı No:101 Mercan Sitesi,0850 474 7350,147,4.8,Özel - Uzman (Ortodonti),9.1,,,,,,
160,Etimesgut,Smile Zone Clinic,Bağlıca,Bağlıca Blv. no:1-D4/Villa,0312 234 53 54,341,4.8,Özel - Büyük,9.2,,,,,,
161,Çankaya-A Batı,"Uzm. Dr. Dt. Tuğba Çınar Türk (Pedodonti, Sedasyon)",,"Konutkent, 2945. cd Hayal sitesi 25/2 Çayyolu",0546 820 75 35,99,4.8,UZMAN (Pedodonti),10.7,,,,,,
162,Çankaya-A Batı,Fordent Diş Kliniği,,"Konutkent, 2967. Sk. No:10",0312 236 01 37,38,4.7,,11.3,,,,,,
163,Çankaya-A Batı,Çayyolu ADSP,,"Çayyolu, Konutkent, 2965. Cd Malikent Sitesi",0312 241 14 13,57,4.1,,11.2,,,,,,
