name,address,phone,lat,lng,neighborhood,district,province,type,rating,reviews
Diş Hekimi Beyza KUZU (Ortodonti),"Mehmet Akif Ersoy, 49-4. Sk. No:5 D:1A",+90 543 180 80 02,39.7417004,37.0301772,Mehmet Akif Ersoy,Merkez,Sivas,private_clinic,4.6,56
Ortodontist Doç.Dr. Fatih Çelebi,Örtülüpınar İnönü Bulv. Başak Apt No:4 Kat:1,+90 346 225 28 06,39.7486094,37.0132343,Örtülüpınar,Merkez,Sivas,private_clinic,4.9,48
AKN Dent Ağız ve Diş Polikliniği (Akın Türköz),"Örtülüpınar, Halil Rıfat Paşa Cd. No:15/A",+90 346 502 58 99,39.7467912,37.0091921,Örtülüpınar,Merkez,Sivas,private_polyclinic,4.9,46
Diş hekimi Ahmet Mertcan KOLDAŞ,"Örtülüpınar, İnönü Blv. uluocak apt A/blok No:11/1",+90 346 221 21 12,39.7478261,37.0130609,Örtülüpınar,Merkez,Sivas,private_clinic,4.9,43
Prof.Dr. Derya Özdemir Doğan,"Mehmetpaşa, İhramcızade Cad. Karapolatgil apt B Blok",+90 551 346 99 11,39.7499882,37.0126365,Mehmetpaşa,Merkez,Sivas,private_clinic,5.0,36
Diş Hekimi Muhlis Özkars,"Kaleardı, Mum Baba Cd. No:21",+90 346 224 76 68,39.74246,37.0121386,Kaleardı,Merkez,Sivas,private_clinic,4.4,35
Dt. Merve Gültaş (Atlas Pol.),Örtülüpınar Mah. Şehit Mustafa Erdem Sk. No:14/A (Atlas Pol.),,39.7461472,37.0114059,Örtülüpınar,Merkez,Sivas,private_polyclinic,,34
Akif Acıpınar Diş,"Örtülüpınar Mah. İnönü Blv. No:28:4, Tavuk Dünyası üstü",+90 346 223 06 58,39.7465068,37.0115304,Örtülüpınar,Merkez,Sivas,private_clinic,4.8,32
Uzm.Dt. Faruk Çilesiz & Dt. Muhammed Karşıt Muayenehanesi,Eskikale mah. 13/3.sokak Elagöz İş Mrk 11/2 Kat:1 No:2,+90 501 648 83 58,39.7492036,37.0183097,Eskikale,Merkez,Sivas,private_clinic,5.0,31
Dt. Göze Vatankulu (GR Sivas),Çarşıbaşı Mah. Sarraflar Sok. No: 8 (GR Sivas),,39.7518463,37.0190773,Çarşıbaşı,Merkez,Sivas,private_polyclinic,,24
GR Sivas Özel Dental Polikliniği,"Çarşıbaşı, Sarraflar Sok no:8",+90 530 373 22 25,39.7507761,37.0190757,Çarşıbaşı,Merkez,Sivas,private_polyclinic,5.0,21
Diş Hekimi Ömer Altunsay,Sularbaşı Mah. Atatürk Cad. Akhan İş Mrk Kat:1/101 (Madımak Oteli yanı),+90 507 531 00 58,39.7503532,37.0172935,Sularbaşı,Merkez,Sivas,private_clinic,5.0,21
Diş Hekimi M.Uğur Gürer,"Örtülüpınar, İnönü Blv. 10 A",+90 346 224 87 67,39.7481671,37.0128785,Örtülüpınar,Merkez,Sivas,private_clinic,3.5,20
Sivas Diş Hekimi Baybars İmre (İmplant),"Örtülüpınar, İnönü Bulv. Tokuş Apt No:5, Kat 2 Daire 4",+90 530 133 38 58,39.7480395,37.013196,Örtülüpınar,Merkez,Sivas,private_clinic,4.3,19
Diş Hekimi Rümeysa Yıldız,"İstasyon Cad. KiTAPÇI Apt, Örtülüpınar, İnönü Blv. kat:3 no:5 (Tapu yanı)",+90 543 558 69 01,39.7476948,37.0125239,Örtülüpınar,Merkez,Sivas,private_clinic,5.0,18
Dt. Akın Türköz (AKN Dent içinde),Örtülüpınar Mah. Halil Rıfat Paşa Cad. No:15/A (AKN Dent kurucusu),,39.7468643,37.0092354,Örtülüpınar,Merkez,Sivas,private_polyclinic,,17
Diş Hekimi Musa Bahadır Bektaş,"Eskikale, Sirer Cd. Sağlık Sitesi Kat:1/5",+90 346 223 06 95,39.7497006,37.0161028,Eskikale,Merkez,Sivas,private_clinic,5.0,16
Dt. Hüseyin CEYLAN,"Kardeşler, 51-4. Sk. No:1/B",+90 554 158 03 47,39.7361955,37.0330313,Kardeşler,Merkez,Sivas,private_clinic,5.0,15
Dr. Alper Durak Diş,"Eskikale, Sire Cad. Ertural Apt. D:2",+90 346 225 73 99,39.7486846,37.017674,Eskikale,Merkez,Sivas,private_clinic,4.8,12
Diş Hekimi Rabia Teber Durna (İmplant/Zirkon),"Örtülüpınar, İnönü Blv. Anadolu 13 Apt No:14 Kat:2 Daire:4",+90 346 224 20 08,39.7479018,37.0126808,Örtülüpınar,Merkez,Sivas,private_clinic,5.0,9
Diş Hekimi Öztürk Burak KILIÇ,Eskikale Mah. Sirer Cad. 2 Güvenal Apt,+90 346 224 45 58,39.7492952,37.0173052,Eskikale,Merkez,Sivas,private_clinic,4.5,8
Dt. Eren Öztürk (Avrupa Pol.),Örtülüpınar Mah. İnönü Bulv. No:12/5 (Avrupa Pol.),,39.7480583,37.0127525,Örtülüpınar,Merkez,Sivas,private_polyclinic,,7
Diş Hekimi Nurdan HAYTA ÇELİK,"Eskikale, Mahkeme Çarşısı Cad. Küçük Kılıç Apt İç Kapı No:1",+90 545 158 39 42,39.7481839,37.0186859,Eskikale,Merkez,Sivas,private_clinic,5.0,6
Doç.Dr. Muhammed İsa Kara (Çene Cerrahı),"Anadolu 2 Apartmanı, Cami-i Kebir, Şifahiye Sk. 13/A",,39.7477739,37.0144807,Cami-i Kebir,Merkez,Sivas,private_clinic,5.0,5
Dt. Ali Bal Muayenehanesi,Sirer Caddesi Dumlupınar Apartmanı Kat 1 No 1,,39.7492828,37.0172043,Eskikale,Merkez,Sivas,private_clinic,,4
Özel Avrupa Ağız ve Diş Polikliniği,"Akkaya İş Mrk, Örtülüpınar, İstasyon Cad. Kat:4",+90 346 224 66 24,39.7481078,37.0127426,Örtülüpınar,Merkez,Sivas,private_polyclinic,5.0,3
Diş Hekimi Harun Savun,Örtülüpınar Mah.,,39.7470814,37.0119538,Örtülüpınar,Merkez,Sivas,private_clinic,5.0,3
Dt. Songül Parlak Yıldız,Halilrıfat Paşa Mah. İstasyon Cad. İnönü Bulv. No:47 Kat:2,,39.74263,37.0089836,Halilrıfat Paşa,Merkez,Sivas,private_clinic,5.0,2
Uzm. Dt. Aylin Otugüzel (Pedodonti),"Yeşilyurt, Sultan Şehir Blv No:42/1 (Aydent içinde)",,39.7413852,37.0350224,Yeşilyurt,Merkez,Sivas,private_polyclinic,3.0,2
Dt. Mehmet Korkmaz (alt kayıt),Örtülüpınar Mah. İnönü Bulv. No:5 Tokuş Apt,,39.7479134,37.0130768,Örtülüpınar,Merkez,Sivas,private_clinic,,2
Dt. Pınar Altunbaş,Sivas Merkez (DT konum yok),,39.7505455,37.0150223,Merkez,Merkez,Sivas,private_clinic,,2
Diş Hekimi Azîz Mahmut Şahin,"Örtülüpınar, İnönü Blv. Anadolu 13 apt No:14 Kapı no:4",+90 346 224 20 08,39.747898,37.0126457,Örtülüpınar,Merkez,Sivas,private_clinic,5.0,1
DentSivas - Doç.Dr. Turgay Yeşilyurt (Çene Cerrahı),"Cami-i Kebir, Şifahiye Sk. No: 13/A (DentSivas içinde)",,39.7477739,37.0144807,Cami-i Kebir,Merkez,Sivas,private_polyclinic,2.0,1
Dt. Ümit Dinçel,Sivas Merkez (Eskikale civarı),,39.7502136,37.017746,Eskikale,Merkez,Sivas,private_clinic,,1
Dt. Emin Talha Alacahan (Avrupa Pol.),Örtülüpınar Mah. İnönü Bulv. No:12/5 (Avrupa Pol.),,39.7480583,37.0127525,Örtülüpınar,Merkez,Sivas,private_polyclinic,,1
Dt. Fatih Uçar (Asya Pol.),Paşabey Mah. Kerim Çavuş Cad Kaptanlar Apt C Blok No:13/A-C (Asya),,39.7480659,37.0208397,Paşabey,Merkez,Sivas,private_polyclinic,,1
Dt. Burak Karyağdı (Dent Bağdat),Kardeşler Mah. Bağdat Cad. No: 29/a (Dent Bağdat),,39.7334137,37.0364571,Kardeşler,Merkez,Sivas,private_polyclinic,,1
Dt. Burak Toprak,Örtülüpınar İnönü Blv./31 Akkaya İş Mrk Kat 3 (Avrupa Pol. içinde),+90 850 811 6948,39.7480602,37.0127517,Örtülüpınar,Merkez,Sivas,private_polyclinic,,0
Diş Hekimi Muhammed Akif Demirkaynak,"Örtülüpınar mah, İstasyon Cad, Tokuş apt No:5, Kat:2, Daire 3",+90 530 133 38 58,39.7481474,37.013333,Örtülüpınar,Merkez,Sivas,private_clinic,,0
Uzm. Dt. Gizem Yeşilyurt Gülmez (Protetik),Örtülüpınar İnönü bulv. 12/31 Akkaya İş Mrk Kat:3 Daire:5,+90 850 333 8344,39.7480602,37.0127517,Örtülüpınar,Merkez,Sivas,private_clinic,,0
Uzman Diş Hekimi Şükran Acıpınar,Örtülüpınar (Akif Acıpınar pol. içi - aynı adres),+90 346 223 06 58,39.7463986,37.0115281,Örtülüpınar,Merkez,Sivas,private_polyclinic,,0
Dr. Gamze Gursesli,"Eskikale, Sirer Cd. Çitil Apt. No:2",+90 346 223 75 45,39.7494681,37.0166443,Eskikale,Merkez,Sivas,private_clinic,,0
Dent 58 Ağız ve Diş Sağlığı Polikliniği,"Mehmet Akif Ersoy, 49-4. Sk. No:5 D:1A",+90 501 580 03 46,39.7417004,37.0301772,Mehmet Akif Ersoy,Merkez,Sivas,private_polyclinic,,0
Dt. Nuri Berk Muayenehanesi,Cumhuriyet Cad. Hamdi Tekmen İş Hanı Kat:1,,39.7505455,37.0150223,Sularbaşı,Merkez,Sivas,private_clinic,,0
Dt. Ayhan Öztürk Muayenehanesi,Yenidoğan Mah. İstasyon Cad. No:13,,39.7505455,37.0150223,Yenidoğan,Merkez,Sivas,private_clinic,,0
Dt. Hilal Soyyüce Muayenehanesi,Halil Rıfatpaşa Mahallesi İstasyon Cad. No:43-A/5 Onur Apt,,39.7444687,37.0088463,Halilrıfat Paşa,Merkez,Sivas,private_clinic,,0
Dt. Sinan Karakaş Muayenehanesi,Eski Kale Mah. Bankalar Cad. 13-2. Sokak No:4 2. Park Tokgöz İşhanı,,39.7496986,37.0171471,Eskikale,Merkez,Sivas,private_clinic,,0
Dt. Muhammet İkbal Taştan Muayenehanesi,Örtülüpınar Mah. Evliya Cad. No:9,,39.7477264,37.0103188,Örtülüpınar,Merkez,Sivas,private_clinic,,0
Dt. Nevin Kuşakçı Muayenehanesi,Örtülüpınar Mah. İnönü Bulv. No:3/2 Tokuş Apt,,39.7481499,37.01334,Örtülüpınar,Merkez,Sivas,private_clinic,,0
Dt. Nihat Kuşakçı Muayenehanesi,Örtülüpınar Mah. İstasyon Cad. Tokuş Apt No:3/2 K1,,39.7481499,37.01334,Örtülüpınar,Merkez,Sivas,private_clinic,,0
Dt. Bünyamin Karkın Muayenehanesi,Sivas Cad. Park Karşısı Sağlık Sitesi Kat:2,,39.7490273,37.0163765,Eskikale,Merkez,Sivas,private_clinic,,0
Dt. Erdal Değerli Muayenehanesi,Eskikale civarı,,39.7502136,37.017746,Eskikale,Merkez,Sivas,private_clinic,,0
Dt. Şeyma Aydın,Yeşilyurt mah. Sultanşehir Blv (Aydent yakını),,39.7424088,37.0371513,Yeşilyurt,Merkez,Sivas,private_clinic,,0
Dt. Özlem Bal,Sivas Merkez (konum belirsiz),,39.7505455,37.0150223,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Cansu Sayın,Sivas Merkez (konum belirsiz),,39.7505455,37.0150223,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Sami Sönmez,Sivas Merkez (konum belirsiz),,39.7505455,37.0150223,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Sebahat Balıkçı,Sivas Merkez (konum belirsiz),,39.7505455,37.0150223,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Ömer Zabun,Sivas Merkez (konum belirsiz),,39.7505455,37.0150223,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Sezer Kavakcı,Sivas Merkez (konum belirsiz),,39.7505455,37.0150223,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Helin Ayduğan Özcan,Sivas Merkez (konum belirsiz),,39.7503586,37.0145187,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Hasan Abbasoğlu Muayenehanesi,Sivas Merkez (konum belirsiz),,39.7503586,37.0145187,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Müge Hamzaoğlu,Sivas Merkez (konum belirsiz),,39.7503586,37.0145187,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Hülya Sarıkartal,Sivas Merkez (konum belirsiz),,39.7503586,37.0145187,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Haluk Ulutaş,Sivas Merkez (konum belirsiz),,39.7503586,37.0145187,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Kıvanç Çoşkun,Sivas Merkez (konum belirsiz),,39.7503586,37.0145187,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Ferda Gülbahar,Sivas Merkez (konum belirsiz),,39.7503586,37.0145187,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Halil Akansel,Sivas Merkez (konum belirsiz),,39.7503586,37.0145187,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Ahmet Turan Ataş,Sivas Merkez (konum belirsiz),,39.7505455,37.0150223,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Reyhani Bakacak,Sivas Merkez (konum belirsiz),,39.7505455,37.0150223,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Duygu Gürdalı,Afyon Sokak Zaimoğlu Sitesi Kat.1 No.5,,39.7512054,37.0179253,Sularbaşı,Merkez,Sivas,private_clinic,,0
Dt. Nihayet Yıldız,Hamdi Tekmen İş Mrk (Cumhuriyet Cad.),,39.7505455,37.0150223,Sularbaşı,Merkez,Sivas,private_clinic,,0
Dt. Nurdan Hayta Çelik,Sivas Merkez (konum belirsiz),,39.7505455,37.0150223,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Şükrü Mehrican,Sivas Merkez (konum belirsiz),,39.7505455,37.0150223,Merkez,Merkez,Sivas,private_clinic,,0
Dt. Furkan Dökmetaş,Sivas Merkez (Rabia Teber Durna pol. olabilir),,39.7479018,37.0126808,Örtülüpınar,Merkez,Sivas,private_polyclinic,,0
Dt. Süeda Kara (DentSivas),Cami-i Kebir Mah. Şifahiye Sok. No:13-A (DentSivas),,39.7485809,37.0148239,Cami-i Kebir,Merkez,Sivas,private_polyclinic,,0
Dt. Melisa Ece Atçeken (Aydent),Yeşilyurt mah. Sultanşehir Blv. 42/1 (Aydent),,39.7413864,37.0350227,Yeşilyurt,Merkez,Sivas,private_polyclinic,,0
Dt. Akın Işık (Beyaz Dünya),Eskikale Mah. Bankalar Cad. 2. Park Sk. No:40 (Beyaz Dünya),,39.7498741,37.0175858,Eskikale,Merkez,Sivas,private_polyclinic,,0
Dt. Akif Alim (Beyaz Dünya),Eskikale Mah. Bankalar Cad. 2. Park Sk. No:40 (Beyaz Dünya),,39.7500572,37.0169029,Eskikale,Merkez,Sivas,private_polyclinic,,0
Dt. Melike Koraltay (Mediyurt TM),Terziler Çarşısı (Yimpaş Binası) Kat:5 (Mediyurt),,39.7474937,37.0205116,Paşabey,Merkez,Sivas,private_clinic,,0
Dt. Melih Köm (Atlas Pol.),Atlas Diş Polikliniği içinde,,39.7463608,37.0105744,Örtülüpınar,Merkez,Sivas,private_polyclinic,,0
Dt. Ayşe Coşgun (Mehmet Korkmaz Pol.),Tokuş Apt. (Mehmet Korkmaz Pol. içinde),,39.7480816,37.0132614,Örtülüpınar,Merkez,Sivas,private_polyclinic,,0
Divriği Diş Kliniği (Dr. Ayşe Hanım),"Ahmetpaşa, Atatürk Caddesi No:449",+90 532 382 01 20,39.3596634,38.109483,Ahmetpaşa,Divriği,Sivas,private_clinic,5.0,30
Ahmet Yalçın Diş Kliniği,"Yenidoğan, Karagol Sok no 40",,39.1795129,36.0971063,Yenidoğan,Gemerek,Sivas,private_clinic,4.3,11
Özel Dentgürün Ağız ve Diş Polikliniği,"Pınarönü, Şehit Naci Avunduk Cad No:14/g",+90 530 391 46 58,38.7232127,37.2697638,Pınarönü,Gürün,Sivas,private_polyclinic,,0
Diş Hekimi Mehmet Eren Köroğlu,"Gürsel, Divriği Cd. 25 c",+90 553 190 45 41,39.2361917,37.3934782,Gürsel,Kangal,Sivas,private_clinic,5.0,2
Diş Hekimi Ahmet Turan Ataş,"Yalnızbağlar Hekim Sokak, Devlet Hastanesi karşısı No:34/B",+90 530 088 78 00,40.1687368,38.081942,Yalnızbağlar,Suşehri,Sivas,private_clinic,4.3,23
Diş Hekimi Emre Bağbaşı Muayenehanesi,"Yalnızbağlar mahallesi, hekim caddesi, ata 1071 A blok altı, 16/C",+90 537 695 58 48,40.167434,38.0800125,Yalnızbağlar,Suşehri,Sivas,private_clinic,5.0,19
Dr. Bünyamin Karkın,"Taşköprü, Sağlık Sitesi",+90 346 311 44 48,40.1625486,38.0825975,Taşköprü,Suşehri,Sivas,private_clinic,,0
Diş Hekimi M.Tarık TAŞCI,Pınarönü Mah.,+90 506 866 96 58,39.3500733,36.4073667,Pınarönü,Şarkışla,Sivas,private_clinic,4.7,31
Diş Hekimi Mansur DOĞAN,"Doğan İş Merkezi, Pınarönü, Sedef Sk. Bina No:15",+90 346 512 61 94,39.3499432,36.4060921,Pınarönü,Şarkışla,Sivas,private_clinic,4.3,16
Dr. Nuri Berk,Cumhuriyet cad. Hükümet konağı karşısı Umut eczanesi üstü kat:1,+90 346 512 13 67,39.3505982,36.4100206,Yukarı,Şarkışla,Sivas,private_clinic,5.0,13
Diş Hekimi Ahmet Demirel,"Kayalıyokuş, Cumhuriyet Cd No:9/F",+90 532 179 43 95,39.3502608,36.408398,Kayalıyokuş,Şarkışla,Sivas,private_clinic,3.8,10
Özel ÖZDENT Ağız ve Diş Polikliniği,"Gültekin, İbrahim Göker caddesi no:14/B",+90 507 405 80 58,39.3502803,36.411951,Gültekin,Şarkışla,Sivas,private_polyclinic,3.2,9
Dr. Nihayet Yıldız,"Pınarönü, Cumhuriyet Cad. Hamdi Tekmen İş Merkezi No:1",+90 346 512 62 22,39.35,36.4,Pınarönü,Şarkışla,Sivas,private_clinic,,0
Özel Eker Ağız ve Diş Sağlığı Polikliniği,"Şehitler, Yusuf Yıldırım Cd. No:14",+90 346 816 34 34,39.8931786,37.7513577,Şehitler,Zara,Sivas,private_polyclinic,5.0,7
Diş hekimi Teslime Öz,"Öztürk yapı, Kızılırmak, Reşit Paşa Cad. no 81/B",+90 545 552 99 58,39.8967422,37.7586641,Kızılırmak,Zara,Sivas,private_clinic,4.7,3
Sivas Ağız ve Diş Sağlığı Merkezi (Ana ADSM),"Kardeşler, Bağdat Cd. No:4",+90 346 215 20 25,39.7353928,37.0324338,Kardeşler,Merkez,Sivas,public_dental_center,2.4,234
Medicana Sivas Hastanesi (Diş Polikliniği),"Şehit, Kızılırmak, M. Fethi Akyüz Cd. No:8",,39.741329,37.029369,Şehit/Kızılırmak,Merkez,Sivas,public_hospital,,118
Cumhuriyet Üniversitesi Diş Hekimliği Fakültesi (Mehmetpaşa Atatürk Bulv.),"Mehmetpaşa, Atatürk Blv. 1B",+90 346 219 12 35,39.7094044,37.0301392,Mehmetpaşa,Merkez,Sivas,university_hospital,2.4,76
Sivas Cumhuriyet Üniversitesi Diş Hekimliği Fakültesi,İmaret Köyü Kayseri Yolu (SCÜ Kampüsü),,39.7339859,37.0150871,İmaret Köyü,Merkez,Sivas,university_hospital,,3
Sivas Ağız ve Diş Sağlığı Mimar Sinan Semt Polikliniği,"Mimar Sinan, 67-3. Sk. No:6",,39.7302756,36.9750935,Mimar Sinan,Merkez,Sivas,public_hospital,5.0,1
Sivas Ağız ve Diş Sağlığı Mehmet Akif Ersoy ADSM,Mehmet Akif Ersoy Mah. Şehit Fethi Akyüz Cad.,,39.7618065,37.0205917,Mehmet Akif Ersoy,Merkez,Sivas,public_dental_center,,0
Mediyurt Tıp Merkezi (Diş Polikliniği),Paşabey Mah. Terziler Çarşısı (Yimpaş Binası) Kat:5,,39.747494,37.020512,Paşabey,Merkez,Sivas,public_hospital,,0
Akıncılar İlçe Hastanesi,Yeni Mah. Akıncılar Yolu,+90 346 361 50 10,40.0860397,38.3464145,Yeni,Akıncılar,Sivas,public_hospital,4.6,12
Altınyayla District Hospital,Rıfat Öçten Mah.,+90 346 681 21 66,39.2708134,36.7437637,Rıfat Öçten,Altınyayla,Sivas,public_hospital,4.2,5
Divriği Sadık Özgür Devlet Hastanesi,"Kale, Günbahçe (Dt. Tuğçe Çınar bağlı)",+90 346 418 10 05,39.3530743,38.1067515,Kale,Divriği,Sivas,public_hospital,3.7,34
Doğanşar İlçe Hastanesi,"Cinci Mah. (1998'de Şaban Balıklıoğlu+Osman Coşar tarafından devlete bağışlanmış, diş ünitesi var)",,40.21405,37.5390788,Cinci,Doğanşar,Sivas,public_hospital,4.6,5
Gölova Kazım Ayan Devlet Hastanesi,Alsancak Mah.,,40.061478,38.6044483,Alsancak,Gölova,Sivas,public_hospital,4.3,6
Gürün Devlet Hastanesi,Gürün merkez,,38.7194,37.2697,Merkez,Gürün,Sivas,public_hospital,,0
Hafik Hacı Esma Kocacık İlçe Hastanesi,"Koç, Zambak Sk. No:24",,39.8544528,37.388491,Koç,Hafik,Sivas,public_hospital,3.9,8
İmranlı Devlet Hastanesi,Vali Tuncel Mah. Hastane Cd.,+90 346 861 20 03,39.8690184,38.1185166,Vali Tuncel,İmranlı,Sivas,public_hospital,4.3,16
Kangal Devlet Hastanesi,Kangal merkez,,39.2375,37.3886,Merkez,Kangal,Sivas,public_hospital,,0
Koyulhisar İlçe Hastanesi,Camiikebir,,40.2935336,37.8411072,Camiikebir,Koyulhisar,Sivas,public_hospital,3.3,12
Suşehri Devlet Hastanesi (Diş Polikliniği),"Yalnızbağlar Hekim Sk., yeni binada",+90 346 311 54 65,40.1697141,38.0824509,Yalnızbağlar,Suşehri,Sivas,public_hospital,3.7,65
Suşehri Ağız ve Diş Sağlığı Polikliniği,"Yalnızbağlar, Hekim Sk. No:36 (24h)",,40.1691193,38.0817513,Yalnızbağlar,Suşehri,Sivas,public_dental_center,5.0,1
Şarkışla Devlet Hastanesi,Şarkışla merkez,,39.34,36.41,Merkez,Şarkışla,Sivas,public_hospital,,0
Ulaş İlçe Hastanesi,"Hürriyet, Sağlık Sk. No:15",,39.4479408,37.0390153,Hürriyet,Ulaş,Sivas,public_hospital,4.3,9
Yıldızeli Devlet Hastanesi,"Fevzi Çakmak, Nazmi Yaraş Cad No:31/3",+90 346 751 24 98,39.8707289,36.6160213,Fevzi Çakmak,Yıldızeli,Sivas,public_hospital,3.5,36
